City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
6,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,Dwarka,IN,81.5,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
14,Busselton,AU,64.74,overcast clouds,-33.65,115.3333,Observatory Guest House
15,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
17,East London,ZA,62.74,light rain,-33.0153,27.9116,Tu Casa
20,Cidreira,BR,69.73,clear sky,-30.1811,-50.2056,Hotel Castelo
21,Port Lincoln,AU,64.04,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
22,Cabo San Lucas,MX,82.06,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
25,Santa Maria,BR,76.3,few clouds,-29.6842,-53.8069,Hotel Morotin
26,Susner,IN,88.59,clear sky,23.95,76.0833,BaBji Electronics
28,Weston,US,84.02,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
30,Rikitea,PF,72.48,heavy intensity rain,-23.1203,-134.9692,People ThankYou
32,Atuona,PF,79.25,light rain,-9.8,-139.0333,Villa Enata
33,Ponta Do Sol,PT,64.0,overcast clouds,32.6667,-17.1,Hotel do Campo
36,Necochea,AR,72.72,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
42,Ahipara,NZ,62.28,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
43,Dyersburg,US,82.29,broken clouds,36.0345,-89.3856,Hampton Inn Dyersburg
47,Salalah,OM,80.94,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
50,Gurupi,BR,83.17,heavy intensity rain,-11.7292,-49.0686,Via Norte Hotel
52,Diamantino,BR,83.25,overcast clouds,-14.4086,-56.4461,Hotel Delta
54,Ariquemes,BR,80.91,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
57,Muscat,OM,87.44,clear sky,23.6139,58.5922,Mutrah Hotel
63,Kitui,KE,64.89,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
64,Soc Trang,VN,81.23,scattered clouds,9.6033,105.98,Phu Quy Hotel
66,Curup,ID,67.75,overcast clouds,-3.4667,102.5333,Ayi The Costel
68,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
71,Bontang,ID,80.15,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
72,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Itarema,BR,79.09,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
75,Labuhan,ID,78.06,overcast clouds,-6.8844,112.2051,DoubleFAG
78,Bethel,US,64.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
82,Dire Dawa,ET,70.47,scattered clouds,9.5931,41.8661,Samrat Hotel
86,Naze,JP,70.72,few clouds,28.3667,129.4833,Shishime Hotel
87,Georgetown,MY,81.95,scattered clouds,5.4112,100.3354,Cititel Penang
88,Mineiros,BR,82.38,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
89,La Grande,US,64.02,scattered clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
92,Jamestown,US,82.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
93,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Tamiahua,MX,85.23,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
98,Owings Mills,US,81.95,clear sky,39.4196,-76.7803,Hampton Inn Baltimore/Owings Mills
100,Jacqueville,CI,80.94,moderate rain,5.2052,-4.4146,Hotel Le Martin Pecheur
104,Salinopolis,BR,78.15,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
107,Waddan,LY,72.14,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
108,Molina,CL,64.13,overcast clouds,-35.1167,-71.2833,Hostal Pucará
109,Batticaloa,LK,80.8,scattered clouds,7.7102,81.6924,Grand Star Guest House
112,Alofi,NU,75.09,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
114,Namatanai,PG,79.59,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
115,Erenhot,CN,60.12,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
116,Kununurra,AU,67.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
119,Antalaha,MG,73.58,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
120,Kavieng,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
121,Guerrero Negro,MX,75.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
125,Howell,US,82.54,overcast clouds,42.6073,-83.9294,Kensington Inn
126,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
127,Raucesti,RO,61.75,overcast clouds,47.25,26.4167,"Pensiunea ,,La struti"""
128,Oriximina,BR,82.15,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
133,Boyolangu,ID,75.79,overcast clouds,-8.1181,111.8935,Yos ega cv
136,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
137,San Patricio,US,87.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
142,Hithadhoo,MV,84.38,scattered clouds,-0.6,73.0833,Scoop Guest House
146,Bentiu,SS,87.64,overcast clouds,9.2333,29.8333,Mandela hôtel
150,Altamont,US,63.39,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
151,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
152,Butaritari,KI,81.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
154,Padang,ID,77.63,moderate rain,-0.9492,100.3543,Mercure Padang
155,Alexandria,EG,64.98,clear sky,31.2156,29.9553,Royal Crown Hotel
156,Flinders,AU,61.88,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
158,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
159,Presidencia Roque Saenz Pena,AR,83.84,overcast clouds,-26.7852,-60.4388,Hotel Gualok
165,Faanui,PF,81.36,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
167,Eyl,SO,81.16,clear sky,7.9803,49.8164,Amiin Hotel
171,Fortuna,US,61.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
172,Saint George,US,67.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
173,Mount Isa,AU,65.97,light intensity drizzle,-20.7333,139.5,ibis Styles Mt Isa Verona
174,Mar Del Plata,AR,75.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
177,Sabzevar,IR,70.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
181,Sechura,PE,79.47,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
182,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
184,Yinchuan,CN,63.93,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
185,Kieta,PG,80.89,light rain,-6.2167,155.6333,Uruna Bay Retreat
187,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
192,Bundaberg,AU,65.21,broken clouds,-24.85,152.35,Takalvan Motel
194,Rancho Palos Verdes,US,87.94,clear sky,33.7445,-118.387,Terranea Resort
195,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
197,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
202,Wanning,CN,78.64,few clouds,18.8003,110.3967,Paradise Hotel
203,Deyang,CN,65.77,overcast clouds,31.1302,104.382,Milletholly Resort Hotel
205,Belmonte,BR,79.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
207,Hervey Bay,AU,69.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
208,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
209,Bati,ET,66.16,light rain,11.1833,40.0167,Meqdela Hotel
210,Antsohihy,MG,73.36,overcast clouds,-14.8796,47.9875,Hotel de Ville
213,Saint-Pierre,RE,74.88,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
214,Buala,SB,81.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
215,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
217,Baghdad,IQ,64.31,scattered clouds,33.3406,44.4009,Baghdad Hotel
218,Gushikawa,JP,75.2,few clouds,26.3544,127.8686,Kirari Guest House
219,Murwara,IN,85.3,few clouds,23.85,80.4,HOTEL BRIJWASI ROYAL
220,Chuy,UY,65.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
221,Honiara,SB,80.46,broken clouds,-9.4333,159.95,Heritage Park Hotel
222,Ormara,PK,80.69,clear sky,25.2088,64.6357,Kenara Colony house for Rent
224,Taihe,CN,62.56,overcast clouds,30.8712,105.3845,Meifeng Holiday Inn
226,Xai-Xai,MZ,71.08,clear sky,-25.0519,33.6442,Complexo da Familia
229,Bentong,MY,74.19,overcast clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
230,Soyo,AO,78.33,broken clouds,-6.1349,12.3689,Hotel Mpampa
231,Moron,AR,76.05,clear sky,-34.6534,-58.6198,Hotel Morón
232,Odienne,CI,85.59,scattered clouds,9.51,-7.5692,Oustaz Vame DIAKITE
233,Castro,BR,66.25,clear sky,-24.7911,-50.0119,CHACARA BAILLY
234,Marawi,PH,68.81,broken clouds,7.9986,124.2928,Derogongan Residence
239,Prado,BR,79.2,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
240,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
241,Tocopilla,CL,68.79,few clouds,-22.092,-70.1979,Hotel Galvarino
242,Yokadouma,CM,77.04,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
247,Kushima,JP,66.83,overcast clouds,31.4583,131.2333,Hanaoka
248,Veraval,IN,81.14,clear sky,20.9,70.3667,Lords Inn Somnath
251,Sao Felix Do Xingu,BR,77.09,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
252,Klamath Falls,US,63.48,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
254,Ribeira Brava,PT,65.01,light rain,32.65,-17.0667,Hotel do Campo
256,Ca Mau,VN,79.45,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
257,Biloela,AU,64.09,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
263,Brea,US,88.79,clear sky,33.9167,-117.9001,Embassy Suites by Hilton Brea North Orange County
265,Rudsar,IR,60.78,overcast clouds,37.1376,50.288,Hotel Bahar
266,Vung Tau,VN,81.27,broken clouds,10.346,107.0843,Seaside Resort
267,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
269,Manakara,MG,69.89,light rain,-22.1333,48.0167,La Residence Manakara
270,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
274,Matara,LK,78.22,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
278,Cumpas,MX,84.81,clear sky,29.9833,-109.7833,Hotel La Palma
280,Aplahoue,BJ,80.22,overcast clouds,6.9333,1.6833,Hotel Immaculee
281,Hami,CN,61.93,broken clouds,42.8,93.45,Laoyutang Resort
282,Ternate,ID,80.31,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
283,Patiya,BD,74.79,few clouds,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
291,Baillif,GP,80.1,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
293,Saint-Denis,FR,61.14,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
297,Copiapo,CL,62.29,clear sky,-27.3667,-70.3333,Antay Casino Hotel
298,Kanor,IN,83.7,clear sky,24.4333,74.2667,Laxmi lal choudhary
299,Sinnamary,GF,79.59,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
301,Barabai,ID,74.5,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
302,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
303,Portland,US,70.74,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
304,Rio Cuarto,AR,86.47,clear sky,-33.1307,-64.3499,Hotel Menossi
305,Ypsilanti,US,86.0,few clouds,42.2412,-83.613,Ann Arbor Marriott Ypsilanti at Eagle Crest
306,Zambezi,ZM,67.33,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
308,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
310,Danshui,CN,75.81,few clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
313,Moa,CU,79.5,overcast clouds,20.6569,-74.9403,Carmen
314,Nongstoin,IN,62.28,scattered clouds,25.5167,91.2667,P.W.D. Inspection Bungalow
316,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
317,Miguel Hidalgo,MX,80.58,scattered clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
319,Kaliua,TZ,65.97,moderate rain,-5.0606,31.7936,Millennium Complex
320,Ipira,BR,76.68,clear sky,-12.1583,-39.7372,Hotel Phyccus
321,Raisinghnagar,IN,84.81,clear sky,29.5358,73.4492,N.D. Dhingra's Sterling Resorts
322,Phonhong,LA,77.2,clear sky,18.5007,102.4166,Manyvong Guest House
327,Samarai,PG,82.81,overcast clouds,-10.6167,150.6667,Nuli Sapi
