City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,59.11,79,20,8.05,few clouds
1,Kaili,ID,-3.4626,120.2147,68.41,87,100,3.2,moderate rain
2,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,6.91,broken clouds
3,Norrtalje,SE,59.758,18.705,39.02,79,0,8.08,clear sky
4,Sitka,US,57.0531,-135.33,48.09,76,100,0.0,light rain
5,Avarua,CK,-21.2078,-159.775,82.45,83,40,5.75,scattered clouds
6,Hilo,US,19.7297,-155.09,80.28,75,100,9.22,overcast clouds
7,Upernavik,GL,72.7868,-56.1549,10.65,85,15,10.74,few clouds
8,Tokomaru,NZ,-40.4667,175.5,56.84,83,81,5.01,broken clouds
9,Vaini,TO,-21.2,-175.2,75.36,88,75,0.0,broken clouds
10,Saskylakh,RU,71.9167,114.0833,-7.89,100,90,2.3,overcast clouds
11,Dwarka,IN,22.2394,68.9678,81.5,74,0,11.16,clear sky
12,Hailar,CN,49.2,119.7,35.22,52,100,2.44,overcast clouds
13,Clyde River,CA,70.4692,-68.5914,5.23,92,100,5.75,light snow
14,Busselton,AU,-33.65,115.3333,64.74,52,99,12.35,overcast clouds
15,Ahuimanu,US,21.4447,-157.8378,80.31,69,75,17.27,broken clouds
16,Dikson,RU,73.5069,80.5464,4.19,96,94,12.41,overcast clouds
17,East London,ZA,-33.0153,27.9116,62.74,75,100,13.02,light rain
18,Barrow,US,71.2906,-156.7887,10.42,79,0,12.66,clear sky
19,Atbasar,KZ,51.8,68.3333,37.94,48,57,10.13,broken clouds
20,Cidreira,BR,-30.1811,-50.2056,69.73,77,2,17.74,clear sky
21,Port Lincoln,AU,-34.7333,135.8667,64.04,80,99,4.81,overcast clouds
22,Cabo San Lucas,MX,22.8909,-109.9124,82.06,64,0,6.91,clear sky
23,Port Hardy,CA,50.6996,-127.4199,48.38,81,100,4.61,light rain
24,Ribeira Grande,PT,38.5167,-28.7,59.4,67,40,13.8,scattered clouds
25,Santa Maria,BR,-29.6842,-53.8069,76.3,61,20,10.36,few clouds
26,Susner,IN,23.95,76.0833,88.59,14,0,13.2,clear sky
27,Shirokiy,RU,49.758,129.523,37.69,58,100,3.13,overcast clouds
